videoId,Title,UploadDate,VideoType,Duration,DurationInS,ViewCount,LikeCount,CommentCount
5t4vF5vuVuM,"PLAYING LAST OF US (PART 1 and 2) UNTIL I BEAT IT",2025-05-17,Livestream,11H54M56S,42896,2513005,79206,361
dFBXskxYWOQ,"PLAYING LAST OF US (PART 1 and 2) UNTIL I BEAT IT PT. 2",2025-05-17,Livestream,Currently live,Currently live,1754694,64601,0
mdTHZN89I5k,"ITS OVER + SPIN THE WHEEL FOR $$$",2025-05-12,Livestream,4H56M53S,17813,2543473,73515,1372
tdn4vTUDIeo,"MOTHERS DAY + IRL STREAM AT BEACH IN MIAMI 🌊🌴🌅",2025-05-11,Livestream,4H24M24S,15864,3210384,96021,1543
fam0AWzv0g0,"what’s up chat + irl 100k Shopping Spree GIVING JAMAL MY CREDIT CARD IF HE RUNS ONE MILE…💵🛍️🛒",2025-05-09,Livestream,3H52M10S,13930,3090083,90480,3515
Bz0hb76kdwc,"Finishing My Hair Today + BEATING PUSHN IT TOGETHER",2025-05-08,Livestream,3H44M57S,13497,2571994,68586,2325
N32DiyCPzKo,"NEW HAIRSTYLE TODAY + GTA 6???",2025-05-06,Livestream,4H12M19S,15139,3261715,96436,1455
bjVWn28I07M,"NO. MORE. BREAKS. + IRL STREAM??",2025-05-05,Livestream,3H59M14S,14354,2586478,91017,1673
r9UA3ondtaw,"we LAUGH, you WIN $$$ ft. KSI",2025-04-26,Livestream,3H26M50S,12410,3989865,133592,4132
YdZntExmo_k,"WORLDS GOT TALENT",2025-04-21,Livestream,5H30M41S,19841,2758686,91743,2298
o3N-9nklu3U,"BACK AND BETTER 谢谢 速度",2025-04-20,Livestream,6H15M4S,22504,3281685,100570,1710
H6ywRmxBNvo,"i joined a band 🇲🇳 #ishowspeed",2025-04-11,Short,44S,44,11417772,321427,10248
0mwuGExoxFU,"irl stream in Mongolia 🇲🇳",2025-04-11,Livestream,5H2M54S,18174,7146055,221186,9083
43U-qppkN64,"One Way Out 🕳️ #ishowspeed",2025-04-09,Short,25S,25,108421895,1633954,10826
7cAzQjnEqXs,"irl stream in Changsha, China🇨🇳 + Meeting Da Zang Wei🎤",2025-04-07,Livestream,6H1M43S,21703,9477503,203812,13302
Hag52ouCzJs,"Most Advanced Robot🤖🇨🇳 #ishowspeed",2025-04-05,Short,33S,33,24218900,567993,9966
zTW20UFOVbo,"irl stream in Shenzhen, China 🇨🇳🤖",2025-04-05,Livestream,5H43M15S,20595,8744939,216038,11012
oNS8PHxWdp8,"irl stream in Hong Kong 🇭🇰  (38 million……)",2025-04-04,Livestream,9H39M38S,34778,11160614,262282,15195
SFE8KIh2TQA,"my new chinese car🇨🇳🚗 #ishowspeed",2025-04-02,Short,41S,41,26180772,923614,16332
QtIlD6uxwwk,"irl stream in Cyber City Chongqing, China🇨🇳🌃",2025-04-02,Livestream,6H31M26S,23486,9374900,239595,15767
4F9ohF9_Imo,"i’m quitting youtube💔",2025-04-01,Short,20S,20,10489410,421189,38959
fZWufgrkCcw,"Super idol🇨🇳 #ishowspeed",2025-03-31,Short,15S,15,66208297,1362090,49919
g4TDjwPRArg,"irl stream in Chengdu, China  🇨🇳",2025-03-31,Livestream,5H23M23S,19403,8799061,221302,13364
XQ_Cp5VI_MU,"climbing the LOVE LADDER 🇨🇳🗻 #ishowspeed",2025-03-30,Short,44S,44,33447074,1156535,22051
GutqOcN-cE0,"i learned kung fu🇨🇳🥋 #ishowspeed",2025-03-28,Short,45S,45,21940889,908442,19272
zBL_5DkiXCk,"Becoming a Shaolin Monk in China 🥋🇨🇳 irl stream",2025-03-28,Livestream,4H49M56S,17396,8032807,212071,14757
xzHt1HFk1zA,"BackFlip off the Great Wall Of China🇨🇳😳",2025-03-26,Short,13S,13,11032947,455287,7553
K8d4n9GhBrg,"irl stream in Beijing, China 🇨🇳 + Great Wall of China",2025-03-26,Livestream,6H9M52S,22192,5995065,152312,13464
fK85SQzm0Z0,"irl stream in Shanghai, China 🇨🇳",2025-03-24,Livestream,6H20M,22800,7638199,239267,15462
oTx6EXTQNSQ,"AI TROLLING ON OMEGLE 😂 + SPLIT OR STEAL",2025-03-19,Livestream,2H54M27S,10467,2054326,75405,1634
rX7kyY2lWTM,"Click This If You Love Your Mom 👩",2025-03-16,Livestream,4H13M23S,15203,2516954,98662,1668
SahEdZYx7Ds,"not ending until i beat Tower Of Hell (roblox)",2025-03-14,Livestream,3H16M17S,11777,2707824,77855,4475
