videoId,Title,UploadDate,VideoType,Duration,DurationInS,ViewCount,LikeCount,CommentCount
J6DqiC-ZFdI,"Final Destination sucks (but we need it)",2025-06-05,Long Form,20M22S,1222,338840,27591,1769
m7RkZS1zPR4,"Fox ruins Melee",2024-08-12,Short,1M,60,1093366,94777,574
MSrUEzQsN2A,"Grasping Mewtwo’s balls",2024-08-11,Short,57S,57,895111,96728,731
Q8eCLkDwdak,"Falco deeply regrets shooting his lasers",2024-08-10,Short,50S,50,841453,78517,217
ArJVB-5wo00,"Turning Yoshi into a pixel",2024-08-09,Short,41S,41,3397153,253706,699
kJufw3_NW4g,"Pikachu makes WAY too many noises (Pichu too)",2024-08-08,Short,49S,49,831158,88858,290
hzft8THAM-Q,"Young Link is a lame version of himself",2024-08-07,Short,59S,59,1125600,105748,501
CVjd7T0DjVQ,"Ness gives Melee its T rating",2024-08-06,Short,37S,37,1875305,161822,1154
IF0ZzqjnRyA,"Zelda is more useful than we tho– damn.",2024-08-05,Short,57S,57,966017,86798,316
Jci9pSCQetY,"Fixing Luigi’s Mariometer",2024-08-04,Short,49S,49,1686299,134944,686
Z-6cVqNRwjs,"Falcon just says “no”",2024-08-03,Short,1M,60,1440882,127100,424
2feajcSIHNk,"The Fat Marth technique",2024-08-02,Short,55S,55,1072446,95851,429
Bx_Njbd1mHY,"Jigglypuff stretches you to your limit",2024-08-01,Short,1M,60,1311535,126276,519
K59ZTeLvbPA,"Mario’s cape breaks reality",2024-07-31,Short,52S,52,1625996,137431,614
sARx6BTPI3I,"The Mystery of Doc's pill",2024-07-30,Short,57S,57,664149,69275,238
u7_QGDqe09Y,"Ganondorf’s deadly intimidation tactics",2024-07-29,Short,56S,56,1110858,101053,348
iN1f-OnK3Cg,"Roy defies the laws of physics to kill you",2024-07-28,Short,55S,55,2672723,227109,739
QCq-c8EaoJ8,"The power of Melee sends Kirby to space",2024-07-27,Short,59S,59,957713,98188,770
JofywXgWI4c,"You WILL learn how to goomy zoomy.",2024-07-26,Short,55S,55,999597,90098,421
DpOhCOxtKsI,"Bowser was almost not worthless",2024-07-25,Short,57S,57,2410589,172130,646
4jd_coa9qVM,"Alright, I'll explain the Link thing",2024-07-24,Short,59S,59,2264963,167075,765
IXQIAR1NOBM,"Game and Watch spills oil then dies",2024-07-23,Short,59S,59,2474287,203561,731
mrGS6O1JMD4,"Donkey Kong's secret technique",2024-07-22,Short,59S,59,958225,107488,563
VicjHXnTAL0,"Peach's Weird Eyelid",2024-07-21,Short,1M,60,1043411,97908,605
nviIKTywuYU,"A video about Melee",2024-07-14,Long Form,26M39S,1599,962572,56941,3020
2WMBwFO65J4,"aMSa: The Only Yoshi (who could do it)",2023-09-10,Long Form,54M10S,3250,4911461,195077,9319
OT3iBZm7mQ8,"Marth's Huge Grab (and why it's completely fine)",2023-07-21,Long Form,8M2S,482,971051,43457,1344
ceOwbGtPSUU,"Shine Breaks Melee",2023-06-22,Long Form,9M19S,559,707605,35922,796
B1jbxgCR8X4,"A Little Roy Mystery",2023-06-02,Short,1M,60,663620,53044,352
H6Cq2R6RBEs,"Melee Has Changed.",2023-05-16,Long Form,9M29S,569,932192,49387,1740
UFNbrNqMu9s,"Melee's Infinite Combos",2022-09-19,Long Form,11M37S,697,1416344,48817,1410
8XGk-LxiphQ,"Invincibility in Competitive Melee",2022-08-13,Long Form,14M17S,857,995492,38484,888
EaOTldY_FqI,"The Other Worst Character in Melee",2022-07-01,Long Form,13M34S,814,2304115,63436,2309
uFx5g7vRNPg,"Yoshi's Story is Broken (and tournament legal)",2022-06-02,Long Form,10M42S,642,1027198,43657,1332
jXAmaY6EvOQ,"Melee's ""Glitches"" (that aren't really glitches)",2022-03-12,Long Form,10M59S,659,1127852,44800,1310
3tyQSz3iGdM,"Fixing Melee (again)",2022-02-21,Long Form,6M20S,380,705359,35649,895
rA8kpvTBh8Q,"Melee's Stupid Advantages",2021-12-23,Long Form,16M29S,989,2211798,82124,2762
jDcwteSamlk,"Battlefield is Broken (and tournament legal)",2021-07-09,Long Form,11M36S,696,1594891,58774,1834
ukBwFO9jMDs,"Strange Pikachu Things... debunk?",2021-06-28,Long Form,6M28S,388,760659,35963,874
Lw1tcqbFwN4,"Banned Controllers for Melee (Legal Ones too)",2021-04-24,Long Form,21M11S,1271,3655729,104897,5532
iik_iUPCSl8,"Cheating in Competitive Melee",2020-11-10,Long Form,7M51S,471,2273931,58730,2395
8Kx-eHZ6CyQ,"The Lost Trophies of Melee",2020-10-31,Long Form,6M15S,375,638158,24675,587
yXyKGJc1Qvg,"Spooky Things in Melee",2020-10-07,Long Form,6M56S,416,943372,36697,1013
nu-fYs42yy0,"The Most Glitchy Character in Melee",2020-09-18,Long Form,7M9S,429,1498405,49255,1347
99GoPzxYmyg,"Useless Melee Knowledge",2020-09-08,Long Form,5M33S,333,1349450,42349,1280
ykdNCycF4Fw,"Mid Tier Oddities",2020-09-01,Long Form,7M7S,427,1507673,49328,1626
OX24wkkMEXs,"Is Melee a Good Game?",2020-06-01,Long Form,37M13S,2233,1914355,49247,5662
v6OVgBW50eA,"Tournament Legal Glitches and Jank in Melee",2020-04-26,Long Form,6M14S,374,1470626,40525,865
eRLgEzirKxs,"Fox, Shine, and the Birth of Competitive Smash",2020-04-17,Long Form,8M27S,507,869932,35799,1102
Zv7bO_jNHZY,"Broken Moves in Melee (and fixing them)",2020-04-05,Long Form,5M30S,330,1318313,37375,1303
