videoId,Title,UploadDate,Duration,DurationInS,ViewCount,LikeCount,CommentCount
lcLpV8vYUg4,"REAL or CAKE with Nick DiGiovanni",2025-03-08,25M27S,1527,5407131,106983,3713
L7nuMgfeynw,"Average Dude vs. Steph Curry",2024-11-16,24M12S,1452,17632545,390930,10293
uCTsmdDMq0U,"Dude Perfect Headquarters is GONE!",2024-10-05,27M54S,1674,8503696,164672,4318
lT8O3KleVos,"F1 Edition | Dude Perfect",2024-08-10,23M48S,1428,5951878,151203,3628
7ba_eJicUlU,"Dude Wars 2 | OT 45",2024-05-04,25M14S,1514,8444413,162650,4945
_J3LCIS3Vz4,"We Remade Our 1st Video 15 Years Later",2024-04-20,26M33S,1593,9994248,263917,9703
pykmv7VdBs4,"The Tesla Coil Electricity Gun! | OT 43",2024-03-23,25M37S,1537,9950739,180700,3947
okvG6H0UaIs,"Top 10 GIFS of ALL TIME | OT 42",2023-12-02,26M8S,1568,9211246,160569,5075
UGz1AbmJIuU,"The World's First Square Bike | OT41",2023-10-07,27M18S,1638,13663346,229972,10331
OPoqBIEvoj0,"We Bought a Premier League Team! | OT 40",2023-08-26,22M48S,1368,8441515,185048,4744
Nt240HomM7U,"We Made a REAL Plasma Blaster | OT39",2023-06-17,22M14S,1334,13597717,232339,5639
moIuur9GUws,"World's Brightest Flashlight | OT38",2023-03-18,25M2S,1502,13484664,228611,15030
n_DtpY9wbGg,"Average Dude vs. Luka Doncic (1-on-1)",2022-12-31,22M19S,1339,21957649,511965,8714
ZyHm55m7t-4,"Dude Perfect's $100 Million Theme Park",2022-12-17,23M15S,1395,15215416,357981,13877
DK0xCH--t8k,"Loser Gets Full Body Casted | OT 35",2022-09-10,21M3S,1263,15585546,288016,6123
s1tEvufgEyU,"Real Life Invisibility Shield | OT34",2022-06-18,15M24S,924,17416114,334844,10972
Xixpb9qEDw0,"World's Longest T-Shirt Launch | OT 33",2022-02-07,19M41S,1181,17049718,328568,26144
YJljg4t-LGI,"Exploding Christmas Presents | OT 32",2021-12-20,15M33S,933,13857651,285703,9147
6fBqGUaJ0tc,"Whoever DESTROYS THEIR CAR MOST Wins | OT 31",2021-12-06,19M59S,1199,24505556,387730,29174
Flj-KI9fOoM,"World's Smallest TV | OT 30",2021-10-11,19M42S,1182,17681268,346726,9450
D7f04YOXQq8,"Chainsaw Carving Competition | OT 29",2021-08-30,22M11S,1331,22392984,407783,83745
RL42Yl4LS6c,"Trying to Bench 405 lbs Underwater | OT 28",2021-07-26,19M46S,1186,27933033,532341,40460
Tl1ycnEFk3I,"World's Hottest Hot Sauce | OT 27",2021-06-14,24M32S,1472,30569054,543093,22506
PAgQHcKMOIk,"World's Weirdest Item | OT 26",2021-04-19,26M18S,1578,30304959,559614,24684
8Mc6zZxBTLA,"OUR WIVES JOIN THE SHOW | OT 25",2021-03-22,25M46S,1546,25861896,473886,36807
n1dEqq2hepw,"Dude Wars | OT 24",2021-02-22,25M56S,1556,33690429,563104,29849
1SIX0HTH-50,"Worst Dude Perfect Videos of All Time | OT 23",2020-12-28,30M23S,1823,42289670,607020,43127
LP02BulYw3g,"Gingerbread House Scandal | OT 22",2020-12-21,24M56S,1496,34252970,504887,22406
9X_nbT89X-c,"Pocket Flame Thrower | OT 21",2020-12-14,25M55S,1555,37205571,585619,24183
ETnepJ1zgKQ,"It Finally Happened | OT 20",2020-12-07,26M13S,1573,29864977,585062,35632
4CqwkiaXEOQ,"GIANT Pumpkin Carving Contest | OT 19",2020-10-19,25M49S,1549,38035722,634657,21932
6NMvQU9xNbo,"WORST PUNISHMENT YET | OT 18",2020-09-21,28M49S,1729,50837520,1002265,42491
n4fXmZTVdZg,"Real Life Robot Dog | OT 17",2020-08-24,28M1S,1681,45864477,773719,28326
BKKr55WPrrM,"Worst Haircut Ever | OT 16",2020-05-25,24M25S,1465,42446432,635424,33400
BYQAFbq2mxE,"Eating Dog Food Like Cereal 🤢 | OT 15",2020-04-20,21M17S,1277,26182984,481492,39287
xG61CapseLU,"Top 10 Candy List EVER | OT 14",2020-03-09,26M10S,1570,53230375,616143,53368
4MMdJHYHoiA,"Lightsaber Accident | OT 13",2020-01-27,27M36S,1656,51010323,768862,46929
O5Sduwj9G98,"We Broke The Budget | OT 12",2019-10-28,23M28S,1408,68426315,1795824,159744
j9I7jt4Y_-A,"World's Weirdest Pillow | OT 11",2019-08-26,20M46S,1246,46686902,580209,21659
8qwjvDROE4E,"World's Best Gaming Room | OT 10",2019-07-01,22M51S,1371,50483487,733043,29234
FPg89qonG0E,"Laying in a Box of Snakes | OT 9",2019-05-20,24M5S,1445,43974572,570736,28460
uUio9YoGhxo,"Real Life Trick Shots Bloopers | OT 8",2019-03-25,19M56S,1196,58355240,730516,34478
rT9PI5q2Etc,"One of us Shaves our Eyebrows 😬 | OT 7",2019-02-11,21M33S,1293,40923582,523291,30957
i25i6vyjIpg,"World Record Exercise Ball Surfing | OT 6",2018-12-03,19M29S,1169,82067392,768585,27503
-qATVnpaHTo,"World's Strongest Laser | OT 5",2018-10-08,16M49S,1009,79186538,913024,42431
RohJfM-VFS0,"The Net Gun | OT 4",2018-07-16,16M58S,1018,88279652,826208,54842
FepIkIILumA,"Fortnite with Ninja | OT 3",2018-05-07,16M32S,992,64430630,910655,43403
MuPL-PSMX0Q,"World's Longest LEGO Walk | OT 2",2018-03-05,15M36S,936,63399421,850821,48956
g1QONg2b2JQ,"Can you Crush a Diamond with a Hammer? | OT 1",2018-01-08,12M59S,779,71415485,1105885,103828
