videoId,Title,UploadDate,VideoType,Duration,DurationInS,ViewCount,LikeCount,CommentCount
PVB8OzANZIw,"4 Washed Rocket League ‘Pros’ Make a Their Grand Return (We Still Suck)",2025-04-04,Long Form,13M,780,909,15,3
voI47QXFiT8,"This PROFESSIONAL Overwatch Player & Streamer Tried To Duel My REINHARDT! (With Reactions)",2025-03-21,Long Form,8M8S,488,129,12,1
N8FIT3Puf7Y,"6v6 is BACK to SAVE Overwatch… And It’s Actually FUN!",2025-03-01,Long Form,13M28S,808,233,20,5
lf7voz9kBAg,"I Tried out for a PROFESSIONAL Overwatch Team But I'm A NOOB",2025-01-31,Long Form,10M52S,652,1980,33,7
R6qyxp0bzZ4,"I Competed In A $30,000 Overwatch Tournament And This Is How It Went...(OWCS)",2024-12-17,Long Form,16M59S,1019,557,28,5
USmdSX9SHrI,"Riot 😤 (Overwatch 2 Montage)",2024-01-20,Long Form,3M11S,191,111,16,5
gXr3ghdYKvk,"HOW I ALMOST THREW THIS STREAMERS GM GAME WITH REACTIONS",2023-06-06,Long Form,7M44S,464,142,12,3
xOTZHPhdMU0,"Overwatch 1 Clips I Never Uploaded",2023-02-11,Long Form,4M44S,284,182,21,3
qIkJERhthf0,"WE GOT DDOS ATTACKED BUT IT COULDN'T STOP MY JUNKER QUEEN",2022-11-16,Long Form,8M19S,499,84,14,0
8D59rTRK6OA,"The Last Overwatch Montage",2022-10-04,Long Form,2M54S,174,171,17,5
mveZWJnDdkU,"Facing This Twitch Streamer With My Godly Reinhardt (With Reactions)",2022-09-30,Long Form,6M49S,409,278,14,1
cE0urhqc25Y,"THE MOST INSANE SOJOURN OVERWATCH 2 GAMEPLAY!",2022-09-18,Long Form,10M23S,623,279,26,4
dzr6JHNgyRQ,"How Good Is A Top500 Overwatch Console Player On Pc?",2022-04-26,Long Form,5M42S,342,149,12,6
X3AOySGYO5g,"PS4 Frog Dominates Fools In The New Cross Play Update",2021-07-02,Long Form,5M24S,324,72,10,2
NGf3F0FRL-4,"He Can Go To JAIL For Saying This!!!! | Stream Highlights and Funny Moments #6",2021-06-09,Long Form,4M20S,260,89,9,3
