videoId,Title,UploadDate,Duration,DurationInS,ViewCount,LikeCount,CommentCount
e8kinz5RKdQ,"ILLENIUM - I Care (Intro / Official Visualizer)",2019-08-16,35S,35,199862,2361,58
yqu2BcD4-ow,"ILLENIUM, Georgia Ku - Hold On (Official Visualizer)",2019-08-16,3M57S,237,2527591,29460,479
XpmeVNxZ-Ks,"ILLENIUM, Jon Bellion - Good Things Fall Apart (Official Video)",2019-06-10,4M,240,33076320,392604,8037
qG6E4r1gumk,"ILLENIUM, GOLDN - That’s Why (Official Visualizer)",2019-08-16,4M14S,254,2466583,24674,421
E4jggmGSoOk,"ILLENIUM, Foy Vance - Blood (Official Lyric Video)",2019-08-02,4M8S,248,1446763,27231,1038
SL_-RqReveA,"ILLENIUM - Take You Down (Official Audio)",2018-08-03,3M42S,222,17049619,184652,5377
zvbDiwV1LWU,"ILLENIUM, OEKIIN - All Together (Official Visualizer)",2019-08-16,4M,240,1158338,14311,635
Q6jnXN_nTlY,"ILLENIUM - Crashing (Official Video) ft. Bahari",2019-04-19,3M52S,232,12770580,99836,1411
wZv1fTFYGSQ,"ILLENIUM, Anna Clendening - Broken Ones (Official Visualizer)",2019-08-16,3M20S,200,3266725,32123,413
k6IY8yAkr2o,"ILLENIUM, Echos - Every Piece Of Me (Official Visualizer)",2019-08-16,3M45S,225,1001457,11856,241
lzkKzZmRZk8,"The Chainsmokers, ILLENIUM - Takeaway (Official Video) ft. Lennon Stella",2019-07-24,3M49S,229,213394504,2079107,35647
d1h07IzKsms,"ILLENIUM, Said The Sky, Annika Wells - Sad Songs (Official Visualizer)",2019-08-16,3M32S,212,1610012,25402,645
i4njyKs6bMs,"ILLENIUM - Pray (Official Audio) ft. Kameron Alexander",2019-03-22,4M57S,297,7675104,71474,1709
mt1mXwBLsSE,"ILLENIUM, X Ambassadors - In Your Arms (Official Visualizer)",2019-08-16,3M42S,222,22371424,165870,1658
sw70hBAYA44,"ILLENIUM, Blanke, Bipolar Sunshine - Gorgeous (Official Visualizer)",2019-08-16,4M39S,279,1088248,14409,401
OcZ4RZZEj7k,"ILLENIUM - Angel (Lonely Prelude / Official Visualizer)",2019-08-16,43S,43,177200,2678,66
BWorPV9036o,"ILLENIUM, Chandler Leighton - Lonely (Official Visualizer)",2019-08-16,4M32S,272,3890404,34871,791
5n3w5TFkC54,"ILLENIUM - Ascend Tour #3",2019-11-21,1M39S,99,99680,3310,178
2J6PlDPxx24,"ILLENIUM - Ascend Tour #4: Illenials",2020-04-01,5M35S,335,54570,3037,272
