videoId,Title,UploadDate,Duration,DurationInS,ViewCount,LikeCount,CommentCount
17YwHnNGScY,"Geometry Dash Update 2.2 Sneak Peek 3",2023-05-15,1M49S,109,3963389,192214,29922
CtEQ_EGlbQc,"Geometry Dash Update 2.2 Sneak Peek 2",2022-09-04,59S,59,10903548,364007,46523
ipK7vQ8gEZw,"Geometry Dash Update 2.2 Sneak Peek",2021-08-14,1M44S,104,22369458,809243,121436
TNyhP4p-Nv8,"Geometry Dash Update 2.1 Sneak Peek",2016-04-16,38S,38,12194359,206613,57998
nnkePuBng3I,"Geometry Dash Update 2.0 Sneak Peek 2",2015-05-11,15S,15,6540827,78194,13204
rVNhHf4yHBc,"Geometry Dash Update 2.0 Sneak Peek",2015-04-09,12S,12,4763370,58670,9189
2iId_amseh0,"Geometry Dash Update 1.9 Sneak Peek 2",2014-10-11,16S,16,2636843,37039,4426
PQkAjNPKxDM,"Geometry Dash Update 1.9 Sneak Peek",2014-09-28,22S,22,2018964,28143,3682
oil_U1qIxQU,"Geometry Dash Update 1.8 Sneak Peek",2014-07-16,33S,33,1348168,19022,2344
R-YzBbNHYBQ,"Geometry Dash Update 1.7 Sneak Peek",2014-05-01,15S,15,1155628,16717,1192
4YpSZ_Rze2U,"Geometry Dash Update 1.6 Sneak Peek",2014-03-09,19S,19,1376601,22800,1996
