videoId,Title,UploadDate,VideoType,Duration,DurationInS,ViewCount,LikeCount,CommentCount
e-jCWnLImdU,"GRINDING TO BECOME A TOP 1V1 PLAYER IN THE WORLD AGAIN… | PRO ROCKET LEAGUE 1V1",2025-06-02,Long Form,13M44S,824,42696,1870,117
58BEWegU4fM,"This NEW Fennec V2 Is ACTUALLY INSANE... | PRO Rocket League 2V2",2025-05-27,Long Form,15M44S,944,77026,2435,146
Ch6e6jvnhYY,"I ran Into an undercover RLCS CHAMPION, here’s what happened…",2025-05-22,Long Form,15M15S,915,67750,2489,105
SfSz5Lt1XSo,"The 1v1 Grind Begins… | Road To Rank #1 In all Modes | PRO Rocket League",2025-05-17,Long Form,12M51S,771,82316,2973,119
rse-NUrJkU0,"200 IQ 0 SECOND CLUTCH TO SECURE 2100+ ELO! | PRO ROCKET LEAGUE 2V2",2025-05-12,Long Form,13M48S,828,70315,2456,74
If63eVYaQYs,"GRINDING FOR RANK #1 IN ALL MODES… | PRO ROCKET LEAGUE 2V2",2025-05-07,Long Form,13M36S,816,104074,3482,90
npH0RBQQ4vo,"INTENSE MATCH AGAINST MY EX TEAMMATES JSTN & GARRETTG... | PRO 2V2 WITH BEASTMODE | ROCKET LEAGUE",2025-05-02,Long Form,16M43S,1003,87130,2995,127
fokFFmog_lg,"THE NEW FORD MUSTANG IS ACTUALLY PRETTY GOOD... | PRO ROCKET LEAGUE 2V2",2025-04-28,Long Form,13M58S,838,76160,2319,85
VREAPReqfR4,"THIS NEW CAR IS NOT INSANE...",2025-04-23,Long Form,13M19S,799,84374,3299,188
vGxG1Gmh7CU,"Grinding For The $2,000,000 RLCS QUALIFIERS…",2025-04-19,Long Form,14M15S,855,88517,2677,97
3KW0Y_NQY_w,"In 20,000+ Hours Of Rocket League This Was The Most INSANE Play...",2025-04-14,Long Form,18M4S,1084,199633,6148,152
BHM9T43D20Y,"The NEW Lamborghini Countach Is here, but is it INSANE?!",2025-04-08,Long Form,13M10S,790,73517,2453,83
fPOW92btP1I,"APRIL FOOLS DAY ON ROCKET LEAGUE IS TOO FUNNY (FEATURING JSTN)",2025-04-03,Long Form,17M17S,1037,67806,2225,102
eCEMzsPf_dk,"THIS NEW GOAL EXPLOSION IS ACTUALLY INSANE... | PEAKING WITH THE YOUNG PRODIGY | PRO ROCKET LEAGUE",2025-03-31,Long Form,14M38S,878,82694,2590,92
iNnlAaCg4pQ,"SO MANY 200IQ PLAYS | RANK #1 SECURED ALREADY?! | RETURN OF THE OCTANE | Rocket League",2025-03-24,Long Form,19M50S,1190,121417,3444,139
TUfF4yEeX6Q,"CAN I WIN MY FIRST TOURNAMENT OF THE NEW SEASON?! | ROAD TO THE BEST GOAL EXPLOSION IN ROCKET LEAGUE",2025-03-20,Long Form,1H14S,NaN,124303,2469,130
DEruJmyo7fE,"The NEW Dodge Charger Is Here, Is It INSANE?! | FIRST GAMES OF THE SEASON | 1200+ POINT GAME",2025-03-15,Long Form,23M37S,1417,124258,3274,160
