videoId,Title,UploadDate,VideoType,Duration,DurationInS,ViewCount,LikeCount,CommentCount
tiAHR5ATgs0,"I found the funniest kid in Rocket League - Full video in description",2025-05-13,Short,1M50S,undefined,1366507,57977,415
s9LEsDSmCkE,"I found the funniest kid in Rocket League",2025-05-12,Long Form,18M51S,undefined,320198,16878,1216
zv9JpFA-wnc,"Who is the Greatest Rocket League Player of All Time?",2025-04-30,Long Form,18M27S,undefined,528286,23054,3188
sYAkspo5a0M,"5 new things you can do in Rocket League",2025-04-05,Long Form,17M5S,undefined,230871,9952,926
x323iombuOo,"5 Levels of Rocket League - The Ultimate Mechanics Test",2025-03-14,Long Form,24M30S,undefined,456579,17956,1822
CYm0apxBU0g,"Rocket League from the POV of a toxic player",2025-01-19,Long Form,11M40S,undefined,420095,17817,1858
UVXNS3fIrLE,"The First Online Freeplay Training Session",2024-12-14,Long Form,10M27S,undefined,286314,11392,632
hjtKGz52C_8,"Rocket League has reached peak toxicity",2024-12-05,Long Form,17M36S,undefined,939045,32714,3147
2aOPCBUwZLo,"The player with the most wins in Rocket League",2024-11-18,Short,55S,undefined,3163455,177316,1112
ZY-zsfSToI8,"The Most Shocking Mistakes in Rocket League History",2024-11-13,Long Form,15M22S,undefined,1152835,33942,1346
ESAfTgJV89c,"When your teammate actually gives you good advice",2024-10-25,Short,59S,undefined,1982804,117341,310
MmNPim7kzq8,"I trained 3 players for a month, but they were only allowed to do ONE thing",2024-10-20,Long Form,27M12S,undefined,913029,31344,1627
_7CGOzHQALg,"My Battlefield 1 Experience",2024-10-14,Long Form,21M40S,undefined,147489,11099,1031
-fxEJhkGWy8,"The Rarest Experience in Rocket League",2024-10-03,Short,58S,undefined,3042824,155208,747
e3iWxAgzKKY,"Playing Every Game Mode in Rocket League",2024-09-24,Long Form,22M1S,undefined,471512,19292,2250
Tf07VSvHcgo,"Why You Should Never Trash Talk Your Teammate",2024-08-23,Short,49S,undefined,5646911,248769,1087
P-l1Y7MGLPY,"The first ever 1v1 in Rocket League history",2024-08-13,Short,1M,undefined,5290266,238160,1272
CPBiK-Ns4L4,"The most powerful car in Rocket League",2024-07-27,Long Form,14M57S,undefined,783530,25190,1909
dJAwV1sJawk,"Rocket League in High School",2024-06-22,Long Form,18M8S,undefined,495592,28020,1097
ooGbnfdP9bM,"Hardstuck at the top",2024-05-08,Long Form,13M24S,undefined,771290,36189,5954
dbJ54xC0EpA,"Rocket League in 2024",2024-04-24,Long Form,16M51S,undefined,1466127,47985,2429
A-LImq5aKv8,"The biggest comeback in Rocket League history",2024-02-17,Long Form,17M30S,undefined,740625,36697,1664
HV_4LZZoapI,"The complete spectrum of Rocket League skill in one day",2023-11-25,Long Form,28M19S,undefined,2214618,39689,1836
4gIyxPpzPhE,"Rocket League just made a HUGE change...",2023-11-16,Short,42S,undefined,1526788,78909,640
6KBaM27KXmg,"Rocket League in 2023 is hilarious",2023-11-11,Long Form,16M18S,undefined,1439207,50043,2204
1bevkeybkro,"I joined 3 different pro teams to see which was the best",2023-10-28,Long Form,22M31S,undefined,666298,18337,481
t8gymz9TKes,"How Epic is killing Rocket League",2023-10-14,Long Form,11M30S,undefined,718679,35125,2446
B77k6zqytzg,"Worlds Best Defender vs Infinite Golds",2023-09-30,Long Form,12M8S,undefined,2732300,50328,1090
VWC1j5LAQM0,"I joined a pro level tournament",2023-09-16,Long Form,24M48S,undefined,1484466,34203,765
0jXcy6CKDRE,"When Justin uses ""This is rocket league""",2023-09-16,Short,26S,undefined,386989,18593,127
