videoId,Title,UploadDate,Duration,DurationInS,ViewCount,LikeCount,CommentCount
b504cQxvA-U,"American Becomes 10x More Handsome in Small Chinese City",2024-10-24,32M47S,1967,509865,14881,1967
Jo3hfi3X1h4,"Remote Chinese Mountain Town Shocked to See American",2024-10-02,21M58S,1318,1904551,45495,2416
xNBQw0qhTyc,"American Tourist Shocks Chengdu by Speaking Sichuanese",2024-09-15,18M2S,1082,992230,24039,1435
OP8wS0mXawg,"Blind Chinese Massage Parlor DESTROYS Unsuspecting American…",2024-09-09,17M15S,1035,620064,12019,767
dJics9KWgIE,"Stranger Pays for Everything in China’s Most Futuristic City",2024-09-01,17M54S,1074,690458,25956,1920
v6dJ3rQlOas,"American Gets Free Food in Rural Chinese Market When He Speaks Chinese",2024-08-14,18M47S,1127,1209689,34982,2183
oC-op_hNbB0,"My first day back in China…",2024-08-12,18M38S,1118,1029117,32434,2480
N9kfLUN3CDE,"Chinese People Try to Convert Me When I Speak Chinese",2024-07-02,5M46S,346,360061,8744,690
qRum00j4huI,"Chinese People Embrace Me When I Speak Chinese",2024-06-07,15M47S,947,893677,21674,1128
BtEuYKNu4bM,"My Friend Wakes Up From Coma Speaking Fluent Chinese, Locals Shocked",2023-11-13,19M24S,1164,557950,16569,488
ZkLv7xQAnE4,"They Gossip About Foreigner, But He Speaks Their Language FLAWLESSLY",2023-10-08,18M10S,1090,1898585,51248,1760
HDgUDHvUu84,"Chinese Friend Doesn’t Speak Chinese, but I Do! (Waiters SHOCKED)",2023-08-28,10M30S,630,1463838,48014,1970
_XZm3Ja8De8,"Chinese Prankster Thought I Couldn’t Speak Chinese…",2023-08-07,4M57S,297,3388075,137643,3869
la6OX5UrBjk,"Speaking 4 Chinese Dialects Simultaneously Amazes Chinatown",2023-04-06,13M13S,793,1617497,42225,1221
X_28pCW2Ynk,"Chinese Grandmas Gossip About Me When I Speak Their Old Dialect",2023-03-03,9M4S,544,2148829,50085,1559
plzHgbBzApQ,"Owner Stunned When I Order Chinese Takeout in Rare Local Dialect",2023-01-25,12M20S,740,3450619,69650,2027
fAimv4gtj1A,"I Busted Out Rapid-Fire Mandarin in Chinese Street Market 😲",2022-11-04,12M23S,743,2402950,63815,2030
