videoId,Title,UploadDate,VideoType,Duration,DurationInS,ViewCount,LikeCount,CommentCount
e68qcNDoSNQ,"Geoguessr, but UWaterloo!?",2025-08-20,Short,1M54S,114,173,5,0
Ptg22e6uwS4,"Canada's Wonderland 🎢 Wait Times in 2025",2025-08-19,Short,1M39S,99,210,3,0
SVyPUNIch4E,"Golf and Beach ft. many people",2025-08-12,Short,54S,54,225,0,0
v7yqNW-Ps9E,"How much I got paid to work at Veld",2025-08-06,Short,1M36S,96,2128,5,0
1IL1tpzwz8c,"Working at VELD 2025",2025-08-04,Short,2M24S,144,593,2,0
5WfwTfvwQ-Q,"My last night at the Toronto Outdoor Picture Show",2025-07-21,Short,59S,59,848,3,4
WlyDB4JiUS8,"Scarborough Bluffs and South Asia Festival Volunteering",2025-07-20,Short,1M54S,114,857,8,1
DAZSjFC8jZ4,"Dragon Boat Volunteering & Coldplay!",2025-07-14,Short,1M44S,104,390,0,0
BED84wSggUQ,"Volunteering at Double Take Thrift in Toronto",2025-07-07,Short,1M25S,85,112,2,0
KMBtGNrB03U,"Volunteering at the Toronto Outdoor Picture Show",2025-07-05,Short,1M37S,97,41,3,0
YtBBmGPw8T0,"10 minutes of Charles Barkley getting things dropped on him",2024-08-20,Long Form,10M31S,631,76057,1343,58
IyowVdROQoE,"playboy gibbi",2021-03-30,Long Form,15S,15,56,3,3
Wq0oOGMpsHU,"Remembrance - Destiny Montage",2018-09-24,Long Form,4M26S,266,134,9,4
bH2Uv4IotLs,"Epic - Destiny Montage",2016-10-18,Long Form,2M30S,150,113,10,1
