videoId,Title,UploadDate,VideoType,Duration,DurationInS,ViewCount,LikeCount,CommentCount
v-qMaw--o6Y,"Marcelo aura farming at the end 👀",2025-06-12,Short,33S,33,1983237,45271,155
HyBIypqwzhs,"Who can stack the HIGHEST pile?! 🤯🧳",2025-06-01,Short,42S,42,1902667,49253,3009
Bu7NDeZDTsY,"HE DIDN’T EVEN HIT RIM 🤯⚽️",2025-05-31,Short,51S,51,54410763,1144015,1312
wlLRxo9TWv8,"Caitlin’s shot at the end 👀💰",2025-05-31,Short,23S,23,11270210,212130,459
9OADNOhW-Wg,"Now ya know 😂🤷‍♂️",2025-05-29,Short,33S,33,25007049,469895,1472
VHvRN6E7lZc,"Which shot went in? 🧐 Featuring Caitlin Clark!",2025-05-25,Short,11S,11,3195802,43577,1212
__X4e0jv8WY,"DOWN TO THE WIRE",2025-05-24,Short,1M4S,64,2704608,73068,394
-BJbUpS5AUk,"Bull Riding with Emojis 🐂😱",2025-05-16,Short,44S,44,2966192,58277,233
BOmTTKTQceM,"CRAZIEST IMPOSSIBLE SHOT YET 🤯🏒 @AlwaysHockey",2025-05-01,Short,44S,44,233048620,5329053,3744
UvAnYnJDpJc,"NO WAY he actually made it 🤯 @gmgolf",2025-04-10,Short,50S,50,125480654,3129507,3776
iL8Hir3KA1c,"It just keeps getting crazier 😂",2025-04-03,Short,26S,26,4543192,72314,440
hvyzyQ2M_jo,"Sooo THIS JUST HAPPENED 😳  New vid with Caitlin Clark coming soon...",2025-04-01,Short,18S,18,13870994,314955,2663
qxKuw-Q-Xx8,"#wbpartner This was INSANE. Go get tickets for A Minecraft Movie today, only in theaters April 4th!",2025-03-31,Short,2M49S,169,2117152,64055,541
y0ybVeYsiuk,"It bent the bat 😱",2025-03-23,Short,44S,44,23053161,522448,603
YgqXFkj2pQ4,"THE LIQUID NITROGEN ONE 😱 @NickDiGiovanni",2025-03-15,Short,1M,60,9007199,267364,503
pU-kmvzZmqM,"Ty aura farming at the end 😂",2025-03-11,Short,37S,37,12607855,563759,1244
5Bw9XjBk8X4,"Balloon Pop SHOWDOWN with @howridiculous!",2025-02-27,Short,1M8S,68,2589377,76008,441
Zrtz_8k1MTc,"Dear Luka...",2025-02-02,Short,24S,24,3536170,162240,1381
hbq1KsCJT68,"Panda got absolutely POSTERIZED 🐼",2025-01-24,Short,48S,48,39664888,1189061,3442
sgC734u0hGI,"bro was just doing his routine 😭🙏🏻",2025-01-23,Short,9S,9,145162136,4061753,8450
InWF1xwBw1g,"This vid’s gonna bang 💥",2024-12-31,Short,57S,57,2424969,90072,519
Z80t7v1ZD8g,"Take note ✍️",2024-12-07,Short,37S,37,9814953,489237,1692
_Bj0BecNq10,"We tried to break THREE World Records in ONE hour with Jason Kelce 🏈🌭😂 @NFL",2024-12-02,Short,55S,55,2141315,100210,257
-5jlVEOJaLc,"That's how break dancing should be done tbh",2024-11-28,Short,38S,38,11744854,430943,1875
rNcMFBHikKc,"Which sports should we do next? 😂",2024-11-21,Short,35S,35,64639021,1884863,10108
ZInkQdVVhe4,"Steph Curry's son the next member of Dude Perfect? 😤",2024-11-14,Short,40S,40,2509519,107169,344
lRN6C-8SszU,"Which shot went in? 😵‍💫 #StephCurry",2024-11-10,Short,10S,10,18931311,383925,22729
xJa8ydTQl64,"Football is BACK! 🏈 Let's kick it off with some tailgating trick shots with @Reeses !",2024-09-17,Short,1M,60,2766967,100990,657
3ODA2VO00y4,"Which one was the worst? 🤣",2024-09-16,Short,57S,57,4981134,208524,901
yJ_MS4m4ZnY,"CeeDee is SMOOTH with it",2024-09-13,Short,1M,60,4141086,124754,404
xofVzFPxo9I,"End of an era 🥺. DPHQ3 reveal COMING SOON!",2024-08-14,Short,21S,21,3409583,142984,2253
QwQ_Y4gf2DI,"This should be an Olympic sport",2024-07-27,Short,1M,60,3277211,161555,671
8JcuC348Ibg,"Dads be like...",2024-06-12,Short,43S,43,22767718,1076638,3755
7pTwqG9VM7o,"Gonna tell my kids this was Spider-Man",2024-05-30,Short,27S,27,69120073,2741337,14041
eS3zqME3bT4,"How it started vs how it’s going",2024-05-01,Short,1M,60,3204096,123537,640
M_7o6tekeXg,"LEGOOOOO! One year ago, the impossible happened.",2024-04-30,Short,36S,36,2077374,92440,620
BlQoJy8J_Q8,"Make it or break it! (That last level 🤯)",2024-04-16,Short,52S,52,16591735,780418,693
NRj1JJsncIk,"THE WINK AT THE END 💀 Storybook day at the @Formula1 AGP for Ty and the CHAMP, Carlos Sainz!",2024-03-24,Short,59S,59,4346439,217092,664
Um1M0hfQsik,"HOW did that happen to Ty at the end?!",2024-03-08,Short,51S,51,34525769,1392797,1362
e3d5gMGzbIM,"Honestly whoever did it should just own up",2024-02-26,Short,49S,49,5051432,307840,1532
CGOLDYiVqww,"Which level took the longest?? 🏈",2024-02-01,Short,43S,43,15517534,721964,3265
YyXs2tSxhvs,"INSANE ROCKET FOOTBALL THROW 🤯🚀",2024-01-09,Short,27S,27,4282305,207404,908
ASipOm0M8ME,"this stuff is CRAZY 🤯",2024-01-07,Short,35S,35,16517295,490739,1274
IeBzNzzFMLI,"What was that?!? 🤣🤣 #challenge",2023-12-26,Short,31S,31,4095830,146459,647
