videoId,Title,UploadDate,VideoType,Duration,DurationInS,ViewCount,LikeCount,CommentCount
phJKY2QFfJ8,"Geometry Dash Space Gauntlet Contest Results",2025-04-05,Long Form,28M7S,1687,457128,18275,4193
r_-mwt6HQ0w,"The Geometry Dash Awards 2024: Winners",2025-03-01,Long Form,17M21S,1041,490555,25079,4693
dIUv7LxGQ5I,"NCS x Geometry Dash Album Montage",2025-02-22,Long Form,1M16S,76,173559,9766,1532
aTc1R5ZTqSw,"The Geometry Dash Awards 2024: Nominees",2025-02-15,Long Form,33M35S,2015,387129,24595,4353
BmmQWcnxHiY,"Geometry Dash Space Gauntlet Contest",2024-11-24,Long Form,54S,54,500147,21114,4667
0JIjbWmJJZk,"Geometry Dash NCS Gauntlet Contest Results",2024-10-05,Long Form,21M39S,1299,687848,35452,5434
x-2Gg7taCf8,"Geometry Dash NCS Gauntlet Contest",2024-06-01,Long Form,1M34S,94,916711,45672,6937
_56jiMvZQok,"Geometry Dash Artist Reveal 10: Frums",2024-04-20,Long Form,29S,29,485785,17362,3372
FZ_DjHb6n4M,"Geometry Dash Artist Reveal 9: F-777",2024-04-13,Long Form,29S,29,527721,26532,3582
x76EMlDq2ac,"Geometry Dash Artist Reveal 8: t+pazolite",2024-04-06,Long Form,46S,46,377201,20347,3098
sC4u9XE9OQA,"Geometry Dash Artist Reveal 7: LeaF",2024-03-30,Long Form,27S,27,412937,21119,3136
e_1QpQIU2F0,"Geometry Dash Artist Reveal 6: xi",2024-03-23,Long Form,29S,29,461345,27371,3622
fin6pGy1wiI,"Geometry Dash Artist Reveal 5: Helblinde",2024-03-09,Long Form,29S,29,329887,18029,1861
ft9u7wIaC9Y,"Geometry Dash Artist Reveal 4: Extra Terra",2024-03-02,Long Form,29S,29,343565,22222,1874
SboNU-lo9qk,"Geometry Dash Artist Reveal 3: Shirobon",2024-02-24,Long Form,29S,29,429711,28203,2943
r6f5E9LFPSQ,"Geometry Dash Artist Reveal 2: MDK",2024-02-17,Long Form,29S,29,669739,43478,4625
hMewiidZlic,"Geometry Dash Artist Reveal 1: Camellia",2024-02-10,Long Form,28S,28,1034655,77644,10970
4nmbxS0LgMs,"The Geometry Dash Awards 2023: Winners",2024-02-03,Long Form,13M48S,828,821544,51366,5996
Gu40YPKrd_I,"The Geometry Dash Awards 2023: Nominees",2024-01-20,Long Form,29M17S,1757,862031,64895,6872
WfgrXjsOq5o,"Geometry Dash 2.2 Released",2023-12-20,Long Form,29S,29,3050311,214731,29637
LxA4NJMiZ8o,"Geometry Dash 2.2 Trailer",2023-10-21,Long Form,2M34S,154,6312384,402143,55401
FhwBbVE-8YY,"Geometry Dash Official Animation",2023-08-19,Long Form,3M18S,198,10458241,357977,23079
mWi_zuXBECw,"Geometry Dash 10-Year Anniversary",2023-08-13,Long Form,26M42S,1602,6452800,441026,67052
17YwHnNGScY,"Geometry Dash Update 2.2 Sneak Peek 3",2023-05-15,Long Form,1M49S,109,3964212,192210,29921
CtEQ_EGlbQc,"Geometry Dash Update 2.2 Sneak Peek 2",2022-09-04,Long Form,59S,59,10908432,364049,46525
