videoId,Title,UploadDate,VideoType,Duration,DurationInS,ViewCount,LikeCount,CommentCount
tiAHR5ATgs0,"I found the funniest kid in Rocket League - Full video in description",2025-05-13,Short,1M50S,110,1399919,59164,420
s9LEsDSmCkE,"I found the funniest kid in Rocket League",2025-05-12,Long Form,18M51S,1131,330153,17136,1236
zv9JpFA-wnc,"Who is the Greatest Rocket League Player of All Time?",2025-04-30,Long Form,18M27S,1107,539908,23358,3221
sYAkspo5a0M,"5 new things you can do in Rocket League",2025-04-05,Long Form,17M5S,1025,232892,10007,927
x323iombuOo,"5 Levels of Rocket League - The Ultimate Mechanics Test",2025-03-14,Long Form,24M30S,1470,463491,18088,1825
CYm0apxBU0g,"Rocket League from the POV of a toxic player",2025-01-19,Long Form,11M40S,700,423376,17877,1862
UVXNS3fIrLE,"The First Online Freeplay Training Session",2024-12-14,Long Form,10M27S,627,286763,11399,632
hjtKGz52C_8,"Rocket League has reached peak toxicity",2024-12-05,Long Form,17M36S,1056,945917,32842,3160
2aOPCBUwZLo,"The player with the most wins in Rocket League",2024-11-18,Short,55S,55,3205237,178365,1120
ZY-zsfSToI8,"The Most Shocking Mistakes in Rocket League History",2024-11-13,Long Form,15M22S,922,1168138,34139,1354
ESAfTgJV89c,"When your teammate actually gives you good advice",2024-10-25,Short,59S,59,2002935,117794,309
MmNPim7kzq8,"I trained 3 players for a month, but they were only allowed to do ONE thing",2024-10-20,Long Form,27M12S,1632,921871,31537,1634
_7CGOzHQALg,"My Battlefield 1 Experience",2024-10-14,Long Form,21M40S,1300,148016,11119,1031
-fxEJhkGWy8,"The Rarest Experience in Rocket League",2024-10-03,Short,58S,58,3055950,155423,749
e3iWxAgzKKY,"Playing Every Game Mode in Rocket League",2024-09-24,Long Form,22M1S,1321,472468,19312,2250
Tf07VSvHcgo,"Why You Should Never Trash Talk Your Teammate",2024-08-23,Short,49S,49,5705624,249870,1092
P-l1Y7MGLPY,"The first ever 1v1 in Rocket League history",2024-08-13,Short,1M,60,5314754,238603,1275
CPBiK-Ns4L4,"The most powerful car in Rocket League",2024-07-27,Long Form,14M57S,897,787143,25256,1913
dJAwV1sJawk,"Rocket League in High School",2024-06-22,Long Form,18M8S,1088,496180,28028,1098
ooGbnfdP9bM,"Hardstuck at the top",2024-05-08,Long Form,13M24S,804,773398,36221,5956
dbJ54xC0EpA,"Rocket League in 2024",2024-04-24,Long Form,16M51S,1011,1468807,48026,2430
A-LImq5aKv8,"The biggest comeback in Rocket League history",2024-02-17,Long Form,17M30S,1050,742129,36722,1664
HV_4LZZoapI,"The complete spectrum of Rocket League skill in one day",2023-11-25,Long Form,28M19S,1699,2220297,39758,1835
4gIyxPpzPhE,"Rocket League just made a HUGE change...",2023-11-16,Short,42S,42,1530336,78974,641
6KBaM27KXmg,"Rocket League in 2023 is hilarious",2023-11-11,Long Form,16M18S,978,1441909,50065,2203
1bevkeybkro,"I joined 3 different pro teams to see which was the best",2023-10-28,Long Form,22M31S,1351,667212,18340,480
t8gymz9TKes,"How Epic is killing Rocket League",2023-10-14,Long Form,11M30S,690,719628,35145,2445
B77k6zqytzg,"Worlds Best Defender vs Infinite Golds",2023-09-30,Long Form,12M8S,728,2738258,50387,1092
VWC1j5LAQM0,"I joined a pro level tournament",2023-09-16,Long Form,24M48S,1488,1487391,34226,765
0jXcy6CKDRE,"When Justin uses ""This is rocket league""",2023-09-16,Short,26S,26,387536,18604,126
