videoId,Title,UploadDate,VideoType,Duration,DurationInS,ViewCount,LikeCount,CommentCount
-Zxpa4cM1B8,"How Social Media Is Hurting You",2024-04-30,Long Form,9M20S,560,67083,3192,178
lw_dUKXNCyw,"5 Things I Wish I Knew When I Started Coding",2023-12-11,Long Form,8M15S,495,45725,1899,95
g_dNlLblWf4,"4 Habits to Being a More Efficient Learner",2023-10-31,Long Form,7M13S,433,70646,3444,67
F_gkh50CwMs,"I Built a Goodreads Killer",2023-09-16,Long Form,3M22S,202,63151,2807,156
esxWe534Aec,"Reading for 36 Hours on a Train",2023-09-02,Long Form,12M11S,731,102571,6285,263
_X1x2RbdznY,"TikTok is Saving Reading",2023-07-22,Long Form,8M10S,490,74314,3766,161
8F3GXmc-Pt4,"Why Aren't You Using Your Heroes' Tools?",2023-07-18,Long Form,6M34S,394,49679,2543,92
xxutllvXwaM,"How I Would Learn to Code (if I could start again)",2023-05-13,Long Form,8M21S,501,177887,9882,159
-pxMa_aADZ4,"3 Lessons for Life After Graduation",2023-05-06,Long Form,7M17S,437,151273,7395,189
49v7gizTPpU,"How I Became a Chess GM Overnight (with a little help)",2022-10-16,Long Form,13M40S,820,95197,3821,207
rmNk2CfYvWA,"I Left Everything and Moved to LA",2022-09-10,Long Form,9M51S,591,111553,4705,195
Eld1q53BxN0,"Running in Circles: My D1 Story",2022-06-18,Long Form,13M1S,781,96400,4623,164
_35Pi9amI2c,"I Graduated From Harvard",2022-06-11,Long Form,8M5S,485,178121,10440,653
7SXsBMJJjZc,"My Top 5 Books of 2022 (so far)",2022-05-06,Long Form,10M3S,603,113137,4115,182
QCfAfVuspCg,"2021: My Best and Worst Year Yet",2022-01-12,Long Form,10M9S,609,73880,2806,177
ykH_aFVV-V0,"My Top 5 Books of 2021",2022-01-01,Long Form,9M34S,574,129422,6117,285
vr_XXwKYHKk,"My Cozy Winter Reads",2021-12-01,Long Form,10M16S,616,76158,3318,195
y-E18rDf7jU,"My Fall Reading List",2021-11-01,Long Form,11M14S,674,102384,4312,232
jZoOKIxBOFI,"Reacting to Myself as a Freshman",2021-10-01,Long Form,13M22S,802,104990,5815,304
zJ3ZzKUS2CY,"my senior year dorm tour!",2021-09-27,Long Form,10M52S,652,69753,3462,168
OiHKcbsMfXY,"Get Ready for College With Me",2021-09-04,Long Form,14M22S,862,124787,5802,147
ZnC8fitF3jo,"I'm Finally *Actually* Going Back to Harvard",2021-07-26,Long Form,9M42S,582,125421,7143,328
u6iKU9TQDE8,"My Top Books of 2021 (so far)",2021-07-01,Long Form,9M57S,597,100192,4621,179
aHnlq15lLaM,"My Top 10 Books of All Time",2021-06-21,Long Form,12M2S,722,367353,15581,651
Ghva-slyaNs,"My Worst Reading Mistakes",2021-05-30,Long Form,10M26S,626,160391,8803,286
_Vxjh1QxApA,"Simulating Natural Selection... on a Chromebook",2021-05-15,Long Form,8M49S,529,95453,4727,167
VmZ9PLCy1Oo,"What I Learned From a Year of Online School",2021-05-07,Long Form,12M45S,765,89108,5287,270
QBsjkPVUdRQ,"Doing One Creative Thing Every Day",2021-04-18,Long Form,10M20S,620,79430,5036,224
Aa2jLxvVcgI,"Why Reading is Not About Being More Productive",2021-03-23,Long Form,8M1S,481,105778,7514,337
XBcsob_8Qh4,"My Advice for Online Tests",2021-02-27,Long Form,14M28S,868,66448,4164,188
2ag8U6H6w_Q,"What I'm Reading in 2021",2021-02-23,Long Form,13M21S,801,222091,10490,1126
nhpKHSy78t0,"Two Weekends, Two Coding Projects",2021-01-25,Long Form,9M47S,587,149668,6037,234
e7rShu3BlnA,"What I Learned From My First Semester of Online School",2020-12-19,Long Form,9M9S,549,142215,7678,437
qC9NNFjc804,"My Top 10 Books of 2020",2020-12-12,Long Form,14M11S,851,425919,18036,813
q_4CvIkOKKE,"How I Manage My Time",2020-11-30,Long Form,10M41S,641,249221,12828,394
Qeud-woK0Tw,"My Advice for Online School",2020-11-24,Long Form,10M10S,610,126277,9874,441
Ts9GIkK4Tpg,"Why Reading is More Important Now Than Ever",2020-10-31,Long Form,7M38S,458,377766,23777,905
2H21ExvoW90,"The Mundanity of Online School",2020-10-18,Long Form,10M30S,630,152892,10927,603
lRu2xMsalqk,"Going Viral With Deepfakes",2020-09-19,Long Form,10M51S,651,69534,3033,173
DC-A33kLKGY,"I'm Going Back to Harvard",2020-08-23,Long Form,13M9S,789,266071,11411,577
BgX0l83Yu24,"How Reading Changes Your Brain",2020-07-30,Long Form,9M20S,560,571662,31431,1201
7JrRuwm_LG8,"Am I Going Back to Harvard?",2020-07-11,Long Form,7M40S,460,247916,11821,621
DHIHqK34i8E,"That Time I Made Tinder for Trees...",2020-06-27,Long Form,10M32S,632,60784,2969,146
TbYrlPRq3fg,"I Taught My Computer How to Draw",2020-06-13,Long Form,9M19S,559,87481,4784,332
buOQT0yroxA,"Black Lives Matter.",2020-06-06,Long Form,12M5S,725,92853,6119,664
