videoId,Title,UploadDate,VideoType,Duration,DurationInS,ViewCount,LikeCount,CommentCount
Hqo5x-k6uAw,"I Tried Speaking 12 Languages Blindfolded LIVE",2025-06-12,Long Form,28M15S,1695,151740,7989,601
oj4wYbiP6V8,"Professor Shocks Students Speaking Gen Alpha Slang",2025-06-12,Short,2M51S,171,114989,6614,239
TO_bsCgNeTM,"Dolphins Shocked When I Speak Their Language",2025-05-28,Long Form,28M58S,1738,563912,33318,3069
eBSkX5bfGt8,"Your Chinese is only 80%...",2025-05-08,Short,1M1S,61,103058,3194,70
Zf_125ApDvw,"Nerdy Professor Shocks High School by Speaking Gen Alpha Slang",2025-05-07,Long Form,11M55S,715,2371815,120081,6743
GwaONvcsBYk,"An emotional moment with the Cree elders",2025-05-06,Short,1M24S,84,59966,3438,98
ddUqW_iYDsQ,"Vendor gives me free food when I speak Turkish",2025-05-02,Short,2M5S,125,66158,3020,71
bJ3MsEUwGsU,"Experiencing a traditional sweat lodge",2025-04-29,Short,2M12S,132,33894,1587,31
gx-753bAXes,"Bartender recognizes me and explains Welsh slang",2025-04-24,Short,1M23S,83,54386,2550,49
Bv2TG3rlL3g,"Meeting the Cree village elders and giving them gifts!",2025-04-22,Short,1M22S,82,55869,2160,34
66sP_FOjwHc,"They gave me free pastries for speaking Welsh",2025-04-10,Short,1M12S,72,53111,1876,32
Ri4oHkh00Uw,"Eating moose and rabbit while speaking Cree",2025-04-08,Short,1M8S,68,43404,1472,41
FVoKVrmMGvI,"I Went to the Town with the World’s Most Unintelligible English",2025-04-07,Long Form,17M13S,1033,598871,17249,3559
MCBE5IYsEe0,"She ran down the street to offer me free coffee in Wales",2025-04-03,Short,1M6S,66,73949,2780,43
ibJGeXsDanQ,"Talking to random strangers in Cree",2025-04-01,Short,2M4S,124,52428,1999,30
zHfapaWNUt8,"American Tourist in UK Gets Everything for Free When He Speaks Welsh",2025-03-27,Long Form,25M1S,1501,1439810,36937,2741
6BhC7aLjnvo,"Spanish Girls Hit on Me When I Speak Basque in Spain",2025-03-20,Short,2M36S,156,54554,2934,46
fOOMOtX0o3g,"Quebec man shocked at my profanity",2025-03-18,Short,1M3S,63,70490,3158,73
M9zyjyCw8Mc,"""I speak trash French""",2025-03-13,Short,1M2S,62,51928,2387,87
zONT7i7slo0,"""Are you Senegalese?""",2025-03-11,Short,1M16S,76,44029,2355,36
galF6UJUsZ8,"They were shocked when I spoke Wolof back to them",2025-03-06,Short,1M27S,87,217244,8469,128
2d_v90e8gdM,"He asks how much money I have in my pockets",2025-03-04,Short,1M6S,66,48970,2394,36
drEfteACl-E,"Apes Freaked Out When I Spoke Their Language",2025-02-27,Long Form,14M33S,873,11574416,475781,27801
8gXIMb8YwpQ,"""May God bless you with peace""",2025-02-27,Short,1M3S,63,48426,2746,35
sf0Y4Djt0ZY,"Practice 10 languages by voice calling Xiaoma at https://yourteacher.ai",2025-02-26,Short,1M30S,90,37727,1679,35
Lq9trf2XzTY,"""Have you ever been to Africa?""",2025-02-25,Short,1M3S,63,656875,24061,253
gBi8FolliN4,"Speaking Twi with Ghanaian family at a market",2025-02-20,Short,1M22S,82,42470,2549,33
X-7CgtTpd5c,"American Gets Laughed Out of Canada When He Tries Speaking French",2025-02-19,Long Form,17M41S,1061,744159,26335,3973
WHJQ_QIVj9s,"A warm welcome at an Irish fruit stand when American speaks Irish",2025-02-18,Short,2M,120,37339,2590,40
tbUrsfZuz3w,"I Visited the world's biggest free restaurant",2025-02-13,Short,1M40S,100,47239,2508,81
F2E3zB7iyvg,"Ordering breakfast at NYC food cart in Afghan language",2025-02-11,Short,1M10S,70,48429,2631,38
WhZ-Yj9mOcI,"There is no English in this Irish town",2025-02-04,Short,1M2S,62,40612,2291,53
Zs3MA1iaU94,"Africans Amazed That I Know Their Language",2025-02-03,Long Form,14M15S,855,496876,14657,665
dP6farYM5ig,"This Irish whiskey distillery speaks Gaelic",2025-01-30,Short,1M11S,71,38208,1841,38
ZPmchKueZAM,"Irish women hit on me",2025-01-28,Short,1M39S,99,48677,2735,45
msmJ36D0iPM,"American Orders Whiskey in Ancient Scots Dialect, Bar Goes Crazy",2025-01-22,Long Form,24M,1440,2840189,56034,4615
2qla7Ycun7U,"Trying fuska from a food truck",2025-01-21,Short,1M15S,75,39134,1970,32
O-iHXdz971A,"Ordering paan in Bengali",2025-01-16,Short,1M2S,62,39907,1811,32
WrPyw4UgXXQ,"They gave me a discount when I spoke their language",2025-01-14,Short,1M40S,100,50956,3008,59
SWmj5I36o90,"Africans welcome me in as I speak their language",2025-01-09,Short,59S,59,67179,4024,34
k1XeJAXrIso,"American speaks fluent #Latin",2025-01-07,Short,34S,34,125386,5651,152
FaoohSLIrt4,"I Tried Speaking “Old English” in the Last Town That Still Speaks It",2025-01-06,Long Form,16M40S,1000,3621549,102511,5339
BxovpJ_eWrE,"Ordering Takeout then Tipping $5,000 to Struggling Chinese Restaurants #chinese #restaurant",2025-01-02,Short,2M54S,174,56120,4611,139
MgXOjeJSUCw,"Ethiopians Shocked When I Shop Using Their Language",2024-12-31,Short,55S,55,76661,4597,44
VDiKaFRkmSU,"American Orders Halal Food in Urdu, Boss Stunned",2024-12-31,Short,59S,59,51877,2802,53
qFL-NUyzX5k,"Surprising strangers with #fuzhounese #chinese #mandarin",2024-12-30,Short,9S,9,60152,2370,12
h35gZc0rB_4,"They are shocked! #chinese #mandarin #languagelearning",2024-12-30,Short,20S,20,161523,6037,55
C8C5a9B0KHs,"Buying eggs in #chinese",2024-12-29,Short,33S,33,105549,4002,22
Qjq3MeGoQdw,"你好！saying hi to strangers in #chinese #mandarin",2024-12-29,Short,14S,14,69733,2553,19
e6z2hsfguEE,"American Orders in Urdu Then Enjoys Delicious Pakistani Food",2024-12-28,Short,47S,47,41147,1957,14
Kw24_fm5Mtk,"White Guy Haggles In Bengali Language, Locals Stunned",2024-12-28,Short,1M,60,37651,1960,14
jpu71tnvJYI,"White guy who grew up in China?! #china #chinese #language",2024-12-27,Short,14S,14,54598,1938,32
I9WmB54YLzk,"White Guy Orders Chai In Perfect Hindi, Employee Stunned",2024-12-27,Short,51S,51,47911,2265,25
Z5Av-XzTlTU,"White guy speaks Native American language?!",2024-12-26,Short,46S,46,38514,2133,20
21TETSpMcJs,"Ordering in restaurant in #mandarin #cantonese #spanish!",2024-12-26,Short,33S,33,81038,3386,29
ksI99NRGaTs,"Surprising people with Fuzhounese! #chinese #fuzhounese #mandarin #fuzhou #languages",2024-12-25,Short,17S,17,58985,2689,18
cgd4ydLNi-U,"Nigerian woman shocked by American speaking African languages",2024-12-25,Short,16S,16,52516,2093,26
ln5o5xsBIvE,"American buys Nigerian groceries in Yoruba language, they were shocked! #nigeria #yoruba",2024-12-24,Short,58S,58,38312,2049,13
KHU3QsQhLDY,"American Speaking #Filipino Language?! #Tagalog #Pinoy",2024-12-24,Short,11S,11,30676,1106,11
UwD64czJwrM,"Speaking #Chinese at the #market #polyglot #mandarin #nyc #newyork #languages",2024-12-23,Short,29S,29,103853,3916,31
wXq_SGiCpME,"White guy speaks fluent #Korean #prank",2024-12-23,Short,47S,47,42816,1794,16
S1H7fssH6ys,"Street merchant doesn’t know I speak Chinese",2024-12-22,Short,1M43S,103,62123,2702,72
Uv3pPCs4zA0,"Practicing my Chinese & Spanish in Mexico's Biggest Chinatown...!",2024-12-22,Short,45S,45,47372,2216,11
rex9IzrPeW8,"Who else loves #msg #polyglot #chinese #mandarin #languagelearning",2024-12-21,Short,18S,18,87997,3194,71
u2l0DAn7_4I,"Trying Chinese Fire Ear Candling #moxibustion #fire #chinese #massage   HD 1080p",2024-12-21,Short,45S,45,38371,1075,32
S84CK8HMsqs,"Speaking Vietnamese and Chinese to a street vendor",2024-12-20,Short,1M15S,75,55860,2681,31
vu-0wZJy9K4,"Fresh persimmons from a Chinese farmer",2024-12-20,Short,1M,60,27284,1595,13
OO7N5k3mi8Q,"American Tourist Gets Guinness for FREE When He Orders in Irish Gaelic",2024-12-19,Long Form,22M23S,1343,2193513,38883,2555
eaAHj4jdO90,"Stranger won't let me pay for coffee in China",2024-12-19,Short,46S,46,30931,1370,45
nfBZw2fKrAM,"Speaking Chinese with a stranger in Chongqing",2024-12-19,Short,1M,60,88487,4465,69
2BGDUlSNPJ4,"Taking a subway through a building in Chongqing China",2024-12-18,Short,59S,59,24853,1059,26
BoCaXkP6gAQ,"Stranger takes me to the top of the mountain in China",2024-12-18,Short,58S,58,18586,1050,12
qjVevrOkLoA,"Turkish man sells me ice cream in Chinese",2024-12-17,Short,1M,60,41606,2062,25
Vn5ueL_9iDg,"Chongqing's secret cyberpunk underground",2024-12-17,Short,57S,57,31929,1421,30
HQt1-Q9XdMg,"She thought I was Chinese until...",2024-12-16,Short,1M56S,116,50268,2748,54
9iE4YLAcxis,"Indian Restaurant Shocked When I Order in Bengali",2024-12-12,Long Form,11M5S,665,381557,11077,440
xE_4O0V9UOY,"White girl gets boba tea in perfect Mandarin",2024-12-12,Short,25S,25,50702,2113,31
yFcjcps3fsM,"Ordering Nepali food while speaking Nepali language",2024-12-10,Short,1M,60,42036,1987,24
u5oFSbH6U8I,"Trying fresh spices on the streets of China",2024-12-05,Short,58S,58,29090,1194,25
GNhdZLEh0Sk,"Trying Chinese smokers' medicine",2024-12-03,Short,53S,53,38206,2102,36
4DRFz5K34Hk,"I used to be TERRIBLE at learning languages...",2024-11-29,Short,1M,60,33000,2001,59
-qXU5fhN4ZU,"Strangers confused by Chinese speaking foreigner",2024-11-28,Short,59S,59,64764,2262,48
TZX4fo2kJ60,"Rickshaw ride through the hutongs",2024-11-26,Short,1M,60,33566,1649,17
