videoId,Title,UploadDate,VideoType,Duration,DurationInS,ViewCount,LikeCount,CommentCount
Uly7TYab6HE,"Peter Luger Cowboy Butter Tomahawk",2025-05-11,Short,40S,40,251174,13523,94
cw7nr8a7wH0,"7 Day Honey Cured Wagyu A5",2025-05-10,Short,39S,39,2597266,113235,592
D_QYRTqhtoQ,"Barbacoa French Dip Cheese Steak @owen.han",2025-05-08,Short,40S,40,496731,23130,112
KflDSgz4KIc,"Jumbo Tomahawk for David Beckham",2025-04-30,Short,56S,56,3214749,112761,558
3tSvjeJZjGI,"I Ranked the Best BBQ from EVERY Country",2025-04-23,Short,2M10S,130,5930330,353127,5142
Q3QiyVSaPZE,"I Challenged America’s Best Brisket",2025-04-22,Short,1M,60,4300488,194453,698
l1rAb8iNPcQ,"Grinding Every Animal Into One Burger @NickDiGiovanni",2025-04-21,Short,26S,26,6479367,205506,1885
pKuguDpmti4,"I Cooked the World’s RAREST Steaks",2025-04-11,Short,3M,180,5637515,306020,2082
gDfyZaujK6E,"I Found Bacon in This Fish…",2025-03-26,Short,36S,36,7206157,326348,918
OU4S0FSZkoI,"I Covered Lamb in Jam",2025-03-24,Short,32S,32,940054,61584,324
P9NbFXKQo-8,"Cowboy Butter Lobster Roll",2025-03-19,Short,40S,40,1211950,73585,428
Aw5vc8jGQCY,"$50 vs $300 vs $1,000 Brisket",2025-03-13,Short,1M6S,66,20309093,822125,2748
sMtfXxOt-3o,"Citrus Dry Aged Mahi Mahi",2025-03-04,Short,50S,50,2098596,149254,657
vzXULTmvWnk,"I Cooked the World’s CRAZIEST Eggs",2025-02-25,Short,2M5S,125,23273281,1679377,10601
4UEzMoGvkXQ,"1,000 Garlic Clove Lamb Leg",2025-02-19,Short,34S,34,3932294,243489,1093
vGx5zex1YCY,"7 Day Caramel Soaked Ribs",2025-02-19,Short,31S,31,1324470,97744,352
lp_Q393jAfw,"I Cooked 100lbs of Protein Pt 3",2025-02-13,Short,1M,60,1293528,93102,507
AByKJ0-wpEs,"I Cooked A 70lb Cow Leg",2025-02-12,Short,1M1S,61,3995667,247616,774
ig1rlhB5h1Q,"I stole a whole cow leg pt 1…",2025-02-11,Short,44S,44,3451751,174240,207
w4jDx6Wenjw,"World’s WORST Tasting Tuna",2025-02-10,Short,47S,47,3130098,157618,1258
QDBn3_WwbQo,"If you find yourself with 20 lobsters…",2025-02-02,Short,31S,31,4764706,334657,2534
d4Z4HnDTnSA,"The Lobster Hot Dog",2025-01-24,Short,37S,37,1351278,118716,506
kGS_WfpU82Q,"When steak put me in the hospital…",2025-01-14,Short,1M1S,61,6826333,497054,1315
39-CvROyYUQ,"7 Day Molasses Cured Tomahawk",2025-01-13,Short,41S,41,1978606,144955,515
UwfDi4tT5Og,"Jalapeño Dry Aged Wagyu A5",2024-12-28,Short,1M3S,63,3197902,204614,800
jPTERm5G4vM,"Deep Fried Prime Rib",2024-12-24,Short,34S,34,1631443,113068,320
